http://yomogi.2ch.net/test/read.cgi/uraidol/1455340494/l50

阿部マリア　http://7gogo.jp/users/WWvG9KLOUdhe　
入山杏奈　http://7gogo.jp/users/85vEJg0VrpB9

miyawaki-sakura	0	0	0	宮脇咲良
imada-mina				今田美奈
matsuoka-natsumi				松岡菜摘
tashima-meru				田島芽瑠
akimoto-manatsu				秋元真夏(Nogizaka46)
akimoto-yasushi				秋元康
anai-chihiro				穴井千尋
aramaki-misaki				荒巻美咲
azuma-rion				東李苑
fuchigami-mai				渕上舞
fukagawa-maiko				深川舞子
furuhata-nao				古畑奈和
futamura-haruka				二村春香
goto-izumi				後藤泉
hayashi-momoka				林萌々香
hashimoto-nanami				橋本奈々未(Nogizaka46)
hori-miona				堀未央奈(Nogizaka46)
hoshino-minami				星野みなみ(Nogizaka46)
ikuta-erika				生田絵梨花(Nogizaka46)
inoue-sayuri				井上小百合(Nogizaka46)
iwata-karen				岩田華怜
kamata-natsuki				鎌田菜月
kashiwagi-yuki				柏木由紀
kayano-shinobu				茅野しのぶ
kimoto-kanon				木本花音
kitagawa-ryoha				北川綾巴
kitano-hinako				北野日奈子(Nogizaka46)
kizaki-yuria				木﨑ゆりあ
kodama-haruka				兒玉遥
kojima-haruna				小嶋陽菜
kojima-mako				小嶋真子
kumazaki-haruka				熊崎晴香
kurihara-sae				栗原紗英
matsumura-kaori				松村香織
matsui-jurina				松井珠理奈
matsumura-sayuri				松村沙友理(Nogizaka46)
matsuoka-natsumi				松岡菜摘
miyamae-ami				宮前杏実
miyazawa-sae				宮澤佐江
gekkan-akb-shinbun				Monthly AKB48 group News
nishino-nanase				西野七瀬(Nogizaka46)
ogasawara-mayu				小笠原茉由
okada-kanna				岡田栞奈
okada-nana				岡田奈々
oshima-yuko				大島優子
oya-masana				大矢真那
sakamoto-erena				坂本愛玲菜
sakurai-reika				桜井玲香(Nogizaka46)
sashihara-rino				指原莉乃
shimazaki-haruka				島崎遥香
shimono-yuki				下野由貴
shiraishi-mai				白石麻衣(Nogizaka46)
suda-akari				須田亜香里
takahashi-zyuri				高橋朱里
takahashi-minami				高橋みなみ
takayanagi-akane				高柳明音
tanaka-miku				田中美久
tanaka-natsumi				田中菜津美
tanaka-yuka				田中優香
tani-marika				谷真理佳
tomiyoshi-asuka				冨吉明日香
tomonaga-mio				朝長美桜
tsutsui-riko				筒井莉子
watanabe-mayu				渡辺麻友
watanabe-miyuki				渡辺美優紀
yabuki-nako				矢吹奈子
yamashita-emiri				山下エミリー
yamauchi-yuna				山内祐奈
yamamoto-sayaka				山本彩
yokoyama-yui				横山由依
yuasa-hiroshi				湯浅洋
ooya-shizuka				大家志津香
owada-nana				大和田南那
kojima-natsuki				小嶋菜月
sasaki-yukari				佐々木優佳里
shiroma-miru				白間美瑠
takahashi-minami				高橋みなみ
takita-kayoko				田北香世子
taniguchi-megu				谷口めぐ
nakanishi-chiyori				中西智代梨
nakamura-mariko				中村麻里子
maeda-ami				前田亜美
miyazaki-miho				宮崎美穂
akb48-team8-kansai				山田菜々美(チーム8関西)
aigasa-moe				相笠萌
ichikawa-manami				市川愛美
shinozaki-ayana				篠崎彩奈
shimada-haruka				島田晴香
shimoguchi-hinana				下口ひなな
suzuki-mariya				鈴木まりや
takajo-aki				高城亜樹
tano-yuka				田野優花
akb48-team8-chugoku-shikoku				中野郁海(チーム8中国四国)
nagao-mariya				永尾まりや
fujita-nana				藤田奈那
minegishi-minami				峯岸みなみ
mukaichi-mion				向井地美音
mutou-tomu				武藤十夢
mogi-shinobu				茂木忍
yumoto-ami				湯本亜美
iwasa-misaki				岩佐美咲
uchiyama-natsuki				内山奈月
umeta-ayano				梅田綾乃
ooshima-ryoka				大島涼花
kato-rena				加藤玲奈
akb48-team8-hokkaido-tohoku				坂口渚沙(チーム8北海道東北)
kobayashi-kana				小林香菜
goto-moe				後藤萌咲
tatsuya-makiho				達家真姫宝
fukuoka-seina				福岡聖菜

矢吹奈子 http://7gogo.jp/gi3GS5tXc2hT
横島亜衿 http://7gogo.jp/BoB12o815QYV
渡辺麻友 http://7gogo.jp/dW1h23-9Eyp-
渡辺美優紀 http://7gogo.jp/SSTgTjQBNPLs

飯野雅 http://7gogo.jp/sZaj_4TZk5mp
伊豆田莉奈 http://7gogo.jp/jqeH_bM5Ln7s
岩立沙穂 http://7gogo.jp/JU7G5mRebbdM
大川莉央 http://7gogo.jp/Z3PePSBjdTF9
大森美優 http://7gogo.jp/fN0dvp5BzUOS
岡田彩花 http://7gogo.jp/KdJbirL6GXl7
岡田奈々 http://7gogo.jp/HUYW5d14blQc
川本紗矢 http://7gogo.jp/r08uY3YH9SOV
北川綾巴 http://7gogo.jp/S1rbSo39aTxt
北澤早紀 http://7gogo.jp/Zw3MScb3Mxcp
小嶋真子 http://7gogo.jp/UUSnuwkwkwwt
込山榛香 http://7gogo.jp/qifl1L_5hhJu
佐藤妃星 http://7gogo.jp/UOpuKu_VNH8O
渋谷凪咲 http://7gogo.jp/aLosRb_G02Lp
高橋朱里 http://7gogo.jp/tLReicD71yfy
朝長美桜 http://7gogo.jp/lCcshjlg13E6
西野未姫 http://7gogo.jp/7q0VBmtQDIo_
野澤玲奈 http://7gogo.jp/pH7Oz3bk9GQU
村山彩希　http://7gogo.jp/users/t8i61ctO2ow5　※個人トークはやってません


AKB48チーム8
地方ごとにやってます
(トークが地方ごとではなく、そもそもユーザーが地方ごと)

北海道･東北エリア http://7gogo.jp/Z1s2YG1c3VDL
関東エリア http://7gogo.jp/cgIVxOFv9cvs
中部エリア http://7gogo.jp/_laXl-RccoDd
関西エリア http://7gogo.jp/Emw-xa3yzhpg
中国四国 http://7gogo.jp/R3rLSUNuvb7R
九州エリア http://7gogo.jp/-7EKJDq5-vem


SKE48チームS

東李苑 http://7gogo.jp/Rj9xSf3PIeK1
犬塚あさな http://7gogo.jp/SiF-FUYk6a6O
大矢真那 http://7gogo.jp/CtfxdOm2Rb6b
北川綾巴 http://7gogo.jp/S1rbSo39aTxt
後藤理沙子 http://7gogo.jp/iKEz5mEz0aP_
杉山愛佳 http://7gogo.jp/F452ex8A8o3U
竹内舞 http://7gogo.jp/RW3ToIFmvQoI
都築里佳 http://7gogo.jp/g6DHxyVrexTC
野口由芽 http://7gogo.jp/43FBlJlJ3FNc
野島樺乃 http://7gogo.jp/5Etf1XbrE31v
二村春香 http://7gogo.jp/f7dixz5EstiJ
松井珠理奈 http://7gogo.jp/-UvbgbCkmTMi
松本慈子 http://7gogo.jp/MmRTfTkJrk4r
宮澤佐江 http://7gogo.jp/joBnMftX61T2
宮前杏実 http://7gogo.jp/Gz21B0mugbG8
矢方美紀 http://7gogo.jp/pXDTsJzwHZV1
山内鈴蘭 http://7gogo.jp/7LiMa5Rr4I1m
山田樹奈 http://7gogo.jp/7N5KSeaFEX3Z

SKE48チームKII

青木詩織 http://7gogo.jp/_l0HZSZ3I8xj
荒井優希 http://7gogo.jp/ZjwARMe3XQPx
石田安奈 http://7gogo.jp/F505-rdQdmtz
内山命 http://7gogo.jp/T2T79Ajj5sFD
江籠裕奈 http://7gogo.jp/Yk_bW7ZLukz7
大場美奈 http://7gogo.jp/vv2AICi98x0W
小畑優奈 http://7gogo.jp/t4WWsq7ibYCO
北野瑠華 http://7gogo.jp/0LVFk_fomzO-
白井琴望 http://7gogo.jp/6NfLxBWj1DgN
惣田紗莉渚 http://7gogo.jp/bj-bPdEfWprD
高木由麻奈 http://7gogo.jp/1MO9_cItqCRf
高塚夏生 http://7gogo.jp/6ymR_y0sWZEL
高柳明音 http://7gogo.jp/eJZQjxkL-lrr
竹内彩姫 http://7gogo.jp/XA8m13xYhCOJ
日高優月 http://7gogo.jp/jLmEAfS0ArFj
古畑奈和 http://7gogo.jp/mla7DVkcqVTg
松村香織 http://7gogo.jp/9StcxxBsk7jb
山下ゆかり http://7gogo.jp/IiYO9XkrXm-J


SKE48チームE

井田玲音名 http://7gogo.jp/urv8fSlE1ciY
市野成美 http://7gogo.jp/cbklXxdU7OUE
梅本まどか http://7gogo.jp/yIsSa7dZBq_E
加藤るみ http://7gogo.jp/DnEuVgUlAlY8
鎌田菜月 http://7gogo.jp/lZUq1g722DDN
木本花音 http://7gogo.jp/e4BZBkilXhJp
熊崎晴香 http://7gogo.jp/1hI7qnXK9B2k
小石公美子 http://7gogo.jp/7_4hVpy2Dj3U
後藤楽々 http://7gogo.jp/4QpuS4hYtPUE
斉藤真木子 http://7gogo.jp/LcrsE21gDLww
酒井萌衣 http://7gogo.jp/bY1W9c1SYhIj
佐藤すみれ http://7gogo.jp/SCD95dd0MmkE
柴田阿弥　－
菅原茉椰 http://7gogo.jp/3Jyr4G1n7Ikq
須田亜香里 http://7gogo.jp/T5qBRtGvGaG4
高寺沙菜 http://7gogo.jp/e7XJz21W-LjX
谷真理佳 http://7gogo.jp/uOQaDiR3Il1N
福士奈央 http://7gogo.jp/G9sPy8-lhX3G


SKE48研究生
五十音で2つに分けられてます
(8と同じくユーザーがそもそも2つだけ)

（あ～か行）相川暖花、浅井裕華、太田彩夏、片岡成美、川崎成美
http://7gogo.jp/oHvpW4Gvit44
（さ～わ行）末永桜花、髙畑結希、町音葉、村井純奈、和田愛菜
http://7gogo.jp/3zeNETHcVdnS

NMB48チームN

明石奈津子 http://7gogo.jp/S2rDRkUMhlZ3
石田優美 http://7gogo.jp/HJN5ip-Y_9Zj
太田夢莉 http://7gogo.jp/ITROmQvd56JS
加藤夕夏 http://7gogo.jp/UynopED44zBC
岸野里香 http://7gogo.jp/GsOoyBXk88LL
古賀成美 http://7gogo.jp/RtsikJE_PlxX
城 恵理子 http://7gogo.jp/zXAQFuMy5xzm
上西恵 http://7gogo.jp/9Kg2p8Npo4kV
須藤凜々花 http://7gogo.jp/MBhdlPlDYPtj
西澤瑠莉奈 http://7gogo.jp/gc0gFZJhkpJJ
西村愛華 http://7gogo.jp/Wr0nTwJwduy8
山尾 梨奈 http://7gogo.jp/ggpZJhJbVIhG
山口夕輝 http://7gogo.jp/FUEvGx6qJ3mI
山本彩 http://7gogo.jp/9M27EUWOGN25
吉田朱里 http://7gogo.jp/JF-JBpSCVt1f

NMB48チームM

東由樹 http://7gogo.jp/hAko8GdSYCIa
石塚朱莉 http://7gogo.jp/UOu3OmktmSBt
植村梓 http://7gogo.jp/7Ue18WvhNb1I
鵜野みずき http://7gogo.jp/ez8SnnpA8Jaf
沖田彩華 http://7gogo.jp/VEK7IBxUDhdM
川上礼奈 http://7gogo.jp/LQKJm-FzV6OL
木下百花　－
久代梨奈 http://7gogo.jp/peUJyy1H0-Xd
白間美瑠 http://7gogo.jp/5nTQ432x1a_L
武井紗良 http://7gogo.jp/aB_2vSic_kqT
‚谷川愛梨 http://7gogo.jp/W49tWGGkg6yG
中野麗来 http://7gogo.jp/M4nhRGlIUsLe
藤江れいな http://7gogo.jp/SqZhmPnlxxM9
松村芽久未 http://7gogo.jp/ZrTyuQGSblFh
三田麻央 http://7gogo.jp/tqsF-XKFMdwm
村瀬紗英 http://7gogo.jp/6onLpgO9JNzV
森田彩花 http://7gogo.jp/ZQkNzzDr5XYF
矢倉楓子 http://7gogo.jp/1aBFDBLvrXwh

NMB48チームBII

井尻晏菜 http://7gogo.jp/STlIXvZbry0V
磯佳奈江 http://7gogo.jp/Z5mYHO19WuFf
市川美織 http://7gogo.jp/mS_2I7_EMCkv
植田碧麗 http://7gogo.jp/ITJ1LRcNeWnS
梅田彩佳 http://7gogo.jp/w-Jgds5boj7v
大段舞依 http://7gogo.jp/1R8_btqFzpFN
門脇佳奈子 http://7gogo.jp/pm6JIu0X9hWN
上枝恵美加 http://7gogo.jp/j9WVHTfjnzdn
川上千尋 http://7gogo.jp/FEbvJXLVNVOj
木下春奈 http://7gogo.jp/0JbpZr1NyglO
日下このみ http://7gogo.jp/pzltOXVAJpa6
黒川葉月 http://7gogo.jp/XgReVPFvUO1X
渋谷凪咲 http://7gogo.jp/aLosRb_G02Lp
内木志 http://7gogo.jp/A1W4hveISIrb
林萌々香 http://7gogo.jp/EULh9u3FbcVv
松岡知穂 http://7gogo.jp/FGCPRb-Rdf9b
薮下柊 http://7gogo.jp/alF88_L40HhU
渡辺美優紀 http://7gogo.jp/SSTgTjQBNPLs

NMBドラフト研究生は誰もやってない(たぶん)


HKT48チームH
秋吉優花 http://7gogo.jp/4boPgKW-p1mN
穴井千尋 http://7gogo.jp/Z794LMClhhVK
井上由莉耶 http://7gogo.jp/MnG_1pq5zSCX
宇井真白 http://7gogo.jp/tC868EVx0WJE
上野遥 http://7gogo.jp/N54Z9YIBA-ix
梅本泉 http://7gogo.jp/9PfEE_JC0ia3
岡本尚子 http://7gogo.jp/rUo8y8aZ4GZE
神志那結衣 http://7gogo.jp/5V9xHaemvy_M
兒玉 遥 http://7gogo.jp/wVaxs6dmbDVe
駒田京伽 http://7gogo.jp/7LQOwc3IPcLY
坂口理子 http://7gogo.jp/IXnAlaS9ard5
指原莉乃 http://7gogo.jp/usHi9Xb0qJus
田島芽瑠 http://7gogo.jp/0mfNdHyZTw6w
田中菜津美 http://7gogo.jp/P6DY6a0J3Ds0
田中美久 http://7gogo.jp/a2o8xl7RkLBF
松岡菜摘 http://7gogo.jp/rOz3bc_I7E9L
矢吹奈子 http://7gogo.jp/gi3GS5tXc2hT
山田麻莉奈 http://7gogo.jp/eqB-MvrHI_MM
山本茉央 http://7gogo.jp/SDUqI2g3atCP
若田部遥 http://7gogo.jp/4NK7lBqfEpE2


HKT48チームKIV
伊藤来笑 http://7gogo.jp/YEIKLfvxUvTZ
今田美奈 http://7gogo.jp/E030rKcPK-9u
岩花詩乃 http://7gogo.jp/6070KS_VpX3R
植木南央 http://7gogo.jp/w7oWgL9O-cXW
多田愛佳 http://7gogo.jp/HtxwIFv2ib_V
岡田栞奈 http://7gogo.jp/MJ08JthPDXwp
熊沢世莉奈 http://7gogo.jp/Cd8b0M-F8AJz
下野由貴 http://7gogo.jp/cdgN9H6WHDQM
田中優香 http://7gogo.jp/_2NvtY8k7yQU
冨吉明日香 http://7gogo.jp/_tw04tggjQOb
朝長美桜 http://7gogo.jp/lCcshjlg13E6
深川舞子 http://7gogo.jp/K9uLyGCUvmnA
渕上舞 http://7gogo.jp/HoRAAI4uMXoe
宮脇咲良 http://7gogo.jp/E2J8AuQM2st_
村重杏奈 http://7gogo.jp/x_QDXWHmqfY3
本村碧唯 http://7gogo.jp/D_Mb1uK0t11g
森保まどか http://7gogo.jp/rpuI6Eekx-7J

HKT48研究生

荒巻美咲 http://7gogo.jp/iHXlT9sewotr
栗原紗英 http://7gogo.jp/2eDvahCxZG8D
坂本愛玲菜 http://7gogo.jp/MdbjK7myszMG
筒井莉子 http://7gogo.jp/Ym65NWz2QiM1
外薗葉月 http://7gogo.jp/SJFYcAav1qUs
山内祐奈 http://7gogo.jp/90z_ktcU3Dhg
山下エミリー http://7gogo.jp/812ICbctB-mR

乃木坂46
専用スレ参照
http://peace.2ch.net/test/read.cgi/nogizaka/1439080345/662


関係者等

秋元康 http://7gogo.jp/zRd5ssa2_9eL
湯浅洋 http://7gogo.jp/u_h4BzztIo1-
戸賀崎智信 http://7gogo.jp/Rw2pTesMTcwQ
茅野しのぶ http://7gogo.jp/KGLRqajCf8zT
荒井広希 http://7gogo.jp/iFjOB3Yqczer
井上ヨシマサ http://7gogo.jp/P1FZ6GNAtudy
AKB48新聞編集部 http://7gogo.jp/9ffnMT5gC7Dn
大澤 剛 http://7gogo.jp/HfNR5Scef2_F
西山恭子 http://7gogo.jp/xEZpgKSJ8QwA



石田晴香　http://7gogo.jp/users/cTkqNcfJEKt0
個人トークはやってません

NGT
北原里英 http://7gogo.jp/H76qXpcpRITL
