3Jyr4G1n7Ikq	200	19	4326	菅原茉椰	3Jyr4G1n7Ikq
4QpuS4hYtPUE	210	34	5637	後藤楽々	4QpuS4hYtPUE
5Etf1XbrE31v	571	23	7242	野島樺乃	5Etf1XbrE31v
6NfLxBWj1DgN	766	37	7642	白井琴望	6NfLxBWj1DgN
9Kg2p8Npo4kV	25	21	1016	上西恵	9Kg2p8Npo4kV
F452ex8A8o3U	340	9	3496	杉山愛佳	F452ex8A8o3U
Rw2pTesMTcwQ	476	4	4292	戸賀崎智信	Rw2pTesMTcwQ
aigasa-moe	425	34	30028	相笠萌	kYYwGCiQXg8W
akashi-natsuko	66	13	6161	明石奈津子	S2rDRkUMhlZ3
akb48-team8-chubu	1271	144	14792	中部エリア	_laXl-RccoDd
akb48-team8-chugoku-shikoku	2951	152	28698	中国四国	R3rLSUNuvb7R
akb48-team8-hokkaido-tohoku	1924	32	22333	北海道･東北エリア	Z1s2YG1c3VDL
akb48-team8-kansai	2194	209	21002	関西エリア	Emw-xa3yzhpg
akb48-team8-kanto	1716	80	14284	関東エリア	cgIVxOFv9cvs
akb48-team8-kyusyu	1372	57	21770	九州エリア	-7EKJDq5-vem
akimoto-manatsu	96	75	3344	秋元真夏(Nogizaka46)
akimoto-yasushi	341	0	9431	秋元康	zRd5ssa2_9eL
akiyoshi-yuka	252	10	9838	秋吉優花	4boPgKW-p1mN
aoki-shiori	332	8	6120	青木詩織	_l0HZSZ3I8xj
arai-yuki	339	14	12443	荒井優希	ZjwARMe3XQPx
aramaki-misaki	17	1	1392	荒巻美咲	iHXlT9sewotr
azuma-rion	39	0	1713	東李苑	Rj9xSf3PIeK1
azuma-yuki	276	1	7120	東由樹	hAko8GdSYCIa
ego-yuna	199	14	5040	江籠裕奈	Yk_bW7ZLukz7
eto-misa	69	14	1410	衛藤美彩(Nogizaka46)
fuchigami-mai	427	16	4219	渕上舞	HoRAAI4uMXoe
fujie-reina	105	1	3213	藤江れいな	SqZhmPnlxxM9
fujita-nana	38	0	10239	藤田奈那	v0Tbs0X-RXJf
fukagawa-maiko	125	18	43321	深川舞子	K9uLyGCUvmnA
fukuoka-seina	159	6	1978	福岡聖菜	G9X28vcZJql7
fukushi-nao	246	6	6007	福士奈央	G9sPy8-lhX3G
furuhata-nao	83	0	3067	古畑奈和	mla7DVkcqVTg
futamura-haruka	343	16	5644	二村春香	f7dixz5EstiJ
gekkan-akb-shinbun	194	1	8100	Monthly AKB48 group News
goto-izumi	62	0	3078	後藤泉
