奇爾奇多		PH Flavor Text
灰燼使者	擊殺敵人有機會召喚一個骷髏為你戰鬥。當你召喚 5 個骷髏時，每個骷髏將會爆炸造成 1000% 武器傷害，並且使這把劍暫時轉化為灰燼使者。灰燼使者的攻擊會灼燒敵人，造成 (4500-6000)% 武器傷害值的神聖傷害	
墮落的灰燼使者	擊殺敵人有機會召喚一個骷髏為你戰鬥。當你召喚 5 個骷髏時，每個骷髏將會爆炸造成 1000% 武器傷害，並且使這把劍暫時轉化為灰燼使者。灰燼使者的攻擊會灼燒敵人，造成 (5000-6000)% 武器傷害值的神聖傷害	傳說裡，有個偉大的聖騎士，他一隻手戴著白銀護腕，手中的寶劍鑲著光輝耀眼的寶石。他斬殺了成千上萬的復生死屍與妖母，卻落得悽慘的結局。這柄劍與傳說中的描述很相似，然而其上的寶石卻黯淡且肅殺。或許，這些傳說的背後另有真相...
血繫手足	獲得 (15-20)% 的機率格擋攻擊。格擋攻擊時可降低 30% 的攻擊傷害，並且使你下一次攻擊造成的傷害提高 30%	「很久以前，惡魔維伊納茲和他的兄弟艾伯斯雖然經常爭吵，但仍然是至高天最難纏的敵人。後來只看到維伊納茲形單影隻地揮舞著一把包覆著惡魔血肉的劍，上面還有顆仍在跳動的心臟，沿著銳利的劍齒汩汩流下黑血。命運卷軸塔魯斯亞爾並未記載艾伯斯的下場如何，不過我們的敵人要是犯下有悖倫常的殘殺手足之罪也不奇怪。」 —大天使伊瑟瑞爾
坎姆的駁斥	天罰之劍可以在冷卻時間開始之前的 4 秒內再度施展	這把沉重的聖劍曾經屬於坎姆，一位熱血沸騰的聖騎士。坎姆曾與來自東方的陌生戰士爆發衝突，戰士宣稱一股潛藏在撒卡蘭姆信仰核心的黑暗勢力將顛覆腐化整個信仰體系。原先顯得彬彬有禮的坎姆忍不住怒吼：「閉嘴，褻瀆者！」並揮劍斬下他的頭顱，這把劍也因此得名。
斯塔加德的兇刃	近戰攻擊時會向周圍的敵人投擲一把利斧，造成 (550-700)% 武器傷害值的物理傷害	斯塔加德是個殘忍嗜血的霸主，他曾經短暫控制了南方平原的貿易商道。他之所以聲名遠播，是因為任何敢踏進他地盤的商隊，都要派出最強的劍士和他決鬥，直到商隊有人能獲勝為止。不過，一看情勢不妙就耍詐，也是他聲名狼藉的原因。
忠貞回憶		波賽尼恩鐵匠鑄造寶劍的工藝領先其他地方足有百年之譜，沒有幾個工匠能追得上他們高超的質地。
黑衛士		這把劍的魔力驅使戰士洛薩特做出筆墨難書的罪行。
麥西穆斯	擊中時有機會召喚出惡魔奴隸 (30%)	名戰士麥西穆斯在魯巴哈多之役中單槍匹馬擊敗 99 名惡魔，並且將這群惡魔的力量灌注在他的寶劍上。
眩盲沙地的蘇丹		由卡爾蒂姆最優秀傑出的工匠合力打造，以紀念哈坎大帝一世的登基大典。
預言之刃	受天譴效果影響的兩個敵人也會觸發爆炸效果	預言之刃要等到匹配得上的豪傑出現才會再度現世。
煞星	攻擊時有 (20-45)% 機率炸射出惡魔之怒，造成 1800-2000% 武器傷害值的火焰傷害	烈焰地獄之外少見具有如此邪惡外觀的武器。
戰狂		惡魔德阿歐恩在鑽石之門的第五場戰役中拿的劍。
日耳曼大劍		安茲提格叛亂期間，修爾曼與保皇黨愛用的長劍。
高祖		世上最古老尊榮的巨劍。
