欺敵滅界	格擋攻擊時所受到的傷害降低 (45-60)%	拿著屬於敵人的兵器，就等於放棄了敵我之分的界線。
沃托亞斯刺盾	被挑釁效果影響的敵人所受到的荊棘傷害加倍	惡魔鍛造師沃托亞斯精心設計了這面盾牌，使膽敢攻擊持盾者的人必受重創。盾牌表面森然豎立的黃銅尖刺使它成為令人悚懼的武器，持盾者可以對敵人造成致命的反擊。
埃伯利加羅	天堂之怒的冷卻時間縮短 (45-50)%	當行旅車隊的安全受到威脅時，維欽人會毫不猶豫地舉起手中的武器，就算只是一堆破銅爛鐵。這面平凡無奇的木盾上施加了不計其數的咒語和附魔，用來保護拿盾的人。從纏裹著盾牌表面的魔法絲線到盾牌邊緣掛著的閃亮吊墜和叮噹作響的飾物，都蘊藏了魔法力量。
衛斯馬屈之禦	格擋時有機會召喚出一隻會衝鋒的狼，對穿過的所有敵人造成 (800-1000)% 武器傷害	這面飾有狼徽的古老盾牌，因為經歷了千百場戰鬥而斲痕斑斑。柯斯克王把它賜給首任衛斯馬屈騎兵指揮官，作為加冕儀式後的第一個封典。從此之後，這面盾牌伴隨著騎兵團的無數精銳出生入死，歷任持有人也將其視為象徵至高尊榮的勳章。
屍身之牆	被擊中時有 (20-30)% 機率受到骨盾保護	為紀念喬斯奎拉之役而命名。那場戰事既漫長又慘烈，倒下的士兵人數多到足以用其骨骸來修築防禦工事。
暴風之盾		阿舒思克從未見過這樣的金屬，彷彿蓄滿九天雷電的神力，能擊退一切攻擊。
暴風之盾		阿舒思克從未見過這樣的金屬，彷彿蓄滿九天雷電的神力，能擊退一切攻擊。
警戒之牆		拉斯瑪的追隨者所造，使用魔法的人都愛用的盾。
折射成冰	格擋時有一定機率使攻擊者凍結 (0.5-1.5) 秒	堅冰出人意表地具有韌性。
阻絕者	聖光掃擊每命中一個敵人，可使你下一次聖光掃擊造成的傷害提高 (30-40)%，最多可堆疊 5 次	名副其實的銅牆鐵壁，擋下所有意圖傷害你的敵人。
象牙塔	格檔時會向前釋放天火之光	這面盾隱隱鳴唱著聖拱之歌。
骸骨之牆	被擊中時有 (20-30)% 機率受到骨盾保護	為紀念喬斯奎拉之役而命名。那場戰事既漫長又慘烈，倒下的士兵人數多到足以用其骨骸來修築防禦工事。
