征服者的護手		
禮讚手套	聖壇的祝福效果持續 10 分鐘	這雙鱗片手套是用魅影怪的皮縫製而成的，只有最受垂青的真神教信徒才能佩戴。
聖阿契伍的戰帖	精英怪群首次對你造成傷害時會產生護盾，可吸收相當於你生命值上限 (120-150)% 的傷害，持續 10 秒	「人稱『安茲提格的聖人』的阿契伍，最著名的就是他與城裡的惡徒屢屢決鬥的事蹟。據稱他向惡人挑戰、把護手拋在街上的時間，還比戴在他手上的時候多。」 —亞奇伯德·科恩
法師之拳		雙掌間握有真正的魔法之力。
鬥士護手	獲得屠殺系列的獎勵後，天上會掉下金幣	沃特大帝競技場鬥士所戴的護手。
岩石護手		很重、很硬、打人很痛。
塔斯克與西歐	使你的寵物攻擊速度提高 (40-50)%	馴犬師和他的獵犬是那個年代最出名的獵人。在一場戰鬥中，他如願以償地死在最疼愛的那隻狗身邊，而他忠心的夥伴不久之後也隨他去了。
霜燃	你的冰寒傷害有 (34-45)% 的機率凍結敵人	這雙手套會吸掉任何碰觸之物的暖意。
潘德佩卻斯		唯有最睿智的冒險者才有資格戴上這雙手套。
法師之拳	火焰技能造成的傷害提高 (15-20)%	雙掌間握有真正的魔法之力。
霜燃	冰寒技能造成的傷害提高 (15-20)%，並且有 50% 的機率凍結敵人	這雙手套會吸掉任何碰觸之物的暖意。
潘德葛拉斯		唯有最睿智的冒險者才有資格戴上這雙手套。
