3Jyr4G1n7Ikq	330	30	5756	菅原茉椰	3Jyr4G1n7Ikq
4QpuS4hYtPUE	244	61	7042	後藤楽々	4QpuS4hYtPUE
5Etf1XbrE31v	809	32	8966	野島樺乃	5Etf1XbrE31v
6NfLxBWj1DgN	1692	94	11897	白井琴望	6NfLxBWj1DgN
9Kg2p8Npo4kV	76	21	2125	上西恵	9Kg2p8Npo4kV
F452ex8A8o3U	653	14	5103	杉山愛佳	F452ex8A8o3U
Rw2pTesMTcwQ	476	4	4292	戸賀崎智信	Rw2pTesMTcwQ
Snjhkz0o7P5Z	17	2	84	齋藤飛鳥
aigasa-moe	445	34	30281	相笠萌	kYYwGCiQXg8W
akashi-natsuko	66	13	6161	明石奈津子	S2rDRkUMhlZ3
akb48-team8-chubu	1720	178	24295	中部エリア	_laXl-RccoDd
akb48-team8-chugoku-shikoku	4475	199	38306	中国四国	R3rLSUNuvb7R
akb48-team8-hokkaido-tohoku	2548	73	28781	北海道･東北エリア	Z1s2YG1c3VDL
akb48-team8-kansai	3253	288	26809	関西エリア	Emw-xa3yzhpg
akb48-team8-kanto	2228	99	19167	関東エリア	cgIVxOFv9cvs
akb48-team8-kyusyu	1884	73	29771	九州エリア	-7EKJDq5-vem
akimoto-manatsu	128	130	4302	秋元真夏(Nogizaka46)
akimoto-yasushi	363	0	9634	秋元康	zRd5ssa2_9eL
akiyoshi-yuka	359	15	11438	秋吉優花	4boPgKW-p1mN
aoki-shiori	351	10	6367	青木詩織	_l0HZSZ3I8xj
arai-yuki	392	14	13323	荒井優希	ZjwARMe3XQPx
aramaki-misaki	97	5	2474	荒巻美咲	iHXlT9sewotr
azuma-rion	39	0	1713	東李苑	Rj9xSf3PIeK1
azuma-yuki	277	1	7204	東由樹	hAko8GdSYCIa
ego-yuna	266	21	6963	江籠裕奈	Yk_bW7ZLukz7
eto-misa	69	14	1410	衛藤美彩(Nogizaka46)
fuchigami-mai	743	24	5733	渕上舞	HoRAAI4uMXoe
fujie-reina	105	1	3213	藤江れいな	SqZhmPnlxxM9
fujita-nana	38	0	10969	藤田奈那	v0Tbs0X-RXJf
fukagawa-maiko	227	21	56406	深川舞子	K9uLyGCUvmnA
fukuoka-seina	398	15	2777	福岡聖菜	G9X28vcZJql7
fukushi-nao	310	6	6708	福士奈央	G9sPy8-lhX3G
furuhata-nao	85	0	3641	古畑奈和	mla7DVkcqVTg
futamura-haruka	356	16	5910	二村春香	f7dixz5EstiJ
gekkan-akb-shinbun	278	1	8641	Monthly AKB48 group News
goto-izumi	62	0	3078	後藤泉
goto-moe	826	143	63000	後藤萌咲	YXj0En04_S9M
goto-risako	156	18	3619	後藤理沙子	iKEz5mEz0aP_
hayashi-momoka	25	0	10374	林萌々香	EULh9u3FbcVv
hidaka-yuduki	123	30	10439	日高優月	jLmEAfS0ArFj
hokazono-haduki	817	36	7379	外薗葉月	SJFYcAav1qUs
hori-miona	687	130	10415	堀未央奈(Nogizaka46)
hoshino-minami	165	6	1862	星野みなみ(Nogizaka46)
ichikawa-manami	903	53	15999	市川愛美	6n4zU6tWn-2C
ichikawa-miori	21	0	787	市川美織	mS_2I7_EMCkv
ichino-narumi	719	10	9694	市野成美	cbklXxdU7OUE
ida-reona	104	6	2264	井田玲音名	urv8fSlE1ciY
iino-miyabi	1089	59	44201	飯野雅	sZaj_4TZk5mp
ikuta-erika	16	1	291	生田絵梨花(Nogizaka46)
imada-mina	1002	162	11453	今田美奈	E030rKcPK-9u
inoue-sayuri	58	41	3567	井上小百合(Nogizaka46)
inoue-yuriya	138	1	4910	井上由莉耶	MnG_1pq5zSCX
inuzuka-asana	74	8	10115	犬塚あさな	SiF-FUYk6a6O
ishida-anna	198	1	730	石田安奈	F505-rdQdmtz
ishida-yuumi	184	13	8094	石田優美	HJN5ip-Y_9Zj
iso-kanae	3	0	14617	磯佳奈江	Z5mYHO19WuFf
itou-junna	154	13	11240	伊藤純奈(Nogizaka46)	1VL9JR6-80c9
itou-karin	87	29	3828	伊藤かりん(Nogizaka46)
iwahana-shino	2275	195	24446	岩花詩乃	6070KS_VpX3R
iwasa-misaki	5	0	1134	岩佐美咲	S32BoKDtOyGJ
iwatate-saho	617	115	11030	岩立沙穂	JU7G5mRebbdM
izuta-rina	638	18	19923	伊豆田莉奈	jqeH_bM5Ln7s
jyo-eriko	661	32	12543	城恵理子	zXAQFuMy5xzm
kadowaki-kanako	2	0	984	門脇佳奈子	pm6JIu0X9hWN
kamata-natsuki	175	0	2959	鎌田菜月	lZUq1g722DDN
kamieda-emika	3	0	957	上枝恵美加	j9WVHTfjnzdn
kashiwagi-yuki	208	12	3989	柏木由紀	QwYb0IvTHKvG
kato-rena	428	2	5824	加藤玲奈	moaYZPKihfpy
kato-rumi	820	18	10972	加藤るみ	DnEuVgUlAlY8
kato-yuuka	78	0	4336	加藤夕夏	UynopED44zBC
kawago-hina	147	75	8999	川後陽菜(Nogizaka46)
kawakami-chihiro	193	13	6510	川上千尋	FEbvJXLVNVOj
kawakami-rena	140	5	3560	川上礼奈	LQKJm-FzV6OL
kawamoto-saya	961	7	12983	川本紗矢	r08uY3YH9SOV
kawamura-mahiro	316	18	15474	川村まひろ(Nogizaka46)
kayano-shinobu	4314	5	14029	茅野しのぶ	KGLRqajCf8zT
kimoto-kanon	58	2	1736	木本花音	e4BZBkilXhJp
kishino-rika	9	0	7383	岸野里香	GsOoyBXk88LL
kitagawa-ryoha	893	22	16321	北川綾巴	S1rbSo39aTxt
kitahara-rie	154	0	2613	北原里英	H76qXpcpRITL
kitano-hinako	84	42	7135	北野日奈子(Nogizaka46)
kitano-ruka	437	11	19505	北野瑠華	0LVFk_fomzO-
