imada-mina	今田美奈（HKT48）のトーク	HKT48今田美奈のトークです	今田美奈
matsumoto-chikako	松本慈子（SKE48）のトーク	松本慈子（SKE48）のトークです	松本慈子
akiyoshi-yuka	秋𠮷優花  (HKT48) あきよしゆかのトーク	HKT48チームHのあきよしと申します。秋吉の吉は吉野家の吉の方で土に口と書いて吉ですがこの漢字が出ない為基本士に口の吉で生きてます。こだわりは無いのでどちらでも良いです。ややこしいです。秋吉でした。	秋吉優花(あきよしゆか)
suzuki-mariya	鈴木まりやんぬ（AKB48）のトーク	鈴木まりやのトークです	鈴木まりや
koishi-kumiko	小石公美子（SKE48）のトーク	百味ビーンズの味はどんな味	小石公美子！くみくみワールドへようこそ！
matsumura-kaori	松村香織（SKE48）のトーク	公式YouTubeやってます！ http://www.youtube.com/c/SKE48_KaoriMatsumura	谷真理佳（SKE48） & 松村香織
takayama-kazumi	高山一実(乃木坂46)	乃木坂46の高山一実です。享楽主義です。本が好きです。人との縁が財産です。	高山一実(乃木坂46)
okada-nana	岡田奈々（AKB48）のトーク	岡田奈々です。	岡田奈々
izuta-rina	いずりな（AKB48）のトーク	いずりなのトークです	伊豆田莉奈
akiyoshiyuka-tanakanatsumi	みかん姉妹	本物です。	田中菜津美 & 秋吉優花(あきよしゆか)
futamuraharuka-isoharakyoka	はるきょん♡	SKE48磯原杏華と二村春香のトークです。	二村春香本物
f9CCiEKSxFbV	二次元同好会755支部！	SKE48二次元同好会のメンバー数名でヲタトークを繰り広げております！気持ち悪いのはデフォだよ！笑	カレーbot鎌田★60万ウォッチで返信祭 & 谷真理佳（SKE48） & SKE48熊崎晴香 & 都築里佳(SKE48) & 竹内舞 & 木崎ゆりあ
sT9iBr1c-1kY	すがわらさんとしらたま。	teamEの菅原茉椰とteamK2の白井琴望です仲良し同期2人のトークぜひ遊びにきてね	白井琴望(SKE48teamk2) & 菅原茉椰(SKE48)
azuma-yuki	東由樹（NMB48）のトーク	ゆきつんカメラ→https://plus.google.com/109057690948151627836	NMB48teamN東由樹(20)
kizaki-yuria	木﨑ゆりあ（AKB48）のトーク	木﨑ゆりあ（AKB48）	木崎ゆりあ
tanoyuka-hiratarina	田野優花と平田梨奈のトーク♡	仲良しコンビ(o^^o)	田野優花
tsutsui-riko	筒井莉子（HKT48）のトーク	筒井莉子のトークです	筒井莉子
azuma-rion	東李苑（SKE48）のトーク	アズマリオン（SKE48）のトークです	アズマリオン
Tr8Fxw3z8pb9	だーすーとぴーすー	須田ゆりが気ままにトークします♡	須田亜香里 & 木崎ゆりあ
okada-ayaka	岡田彩花(AKB48)のトーク	岡田彩花です♬	岡田彩花
kishinorika-kondorina	謝罪動画。	りぃりかの謝罪動画コンビです。	岸野里香(NMB48)
shibuya-nagisa	なぎさ前（NMB/AKB）のトーク	にこにこ	渋谷凪咲
okitaayaka-azumayuki	彩華🍁ゆき📷	ゆるゆるトーク。	NMB48teamN東由樹(20) & 沖田彩華
5Etf1XbrE31v	野島樺乃SKE48💜💛	SKE48teamＳ野島かのです！	野島樺乃
4DX5JfIVDgys	HKT48 teamTⅡトーク		外薗葉月 & HKT48栗原紗英 & 荒巻美咲(HKT48)🦋 & 山内祐奈 & 坂本愛玲菜 & 筒井莉子
nagao-mariya	永尾まりやぎ（AKB48）のトーク	あ	永尾まりやぎ
takitakayoko-okawario	かよりお姉妹のトーク。	生き別れのかよりおシスターズのトーク。	田北香世子 & 大川莉央
kawakamirena-jonishikei	川上西	川上礼奈 上西恵のトークです。	川上礼奈
sKk3hcf34QK4	痴話喧嘩	まこぽん:AKB48のスーパーエース小嶋真子先輩、りりぽん:NMB48の下っ端須藤凜々花後輩	小嶋真子 & 須藤凜々花
EqUb6sb-8AqS	ナマイキッズのトーク	後藤萌咲と下口ひななのトークです✨	下口ひなな & 後藤萌咲
upySuWuxpRGq	☆ゆらら☆	小畑優奈と後藤楽々のトークですo(^▽^)o	後藤楽々(SKE48) & 小畑優奈
sato-sumire	佐藤すみれ（SKE48）のトーク	佐藤すみれ（SKE48）のトークです	佐藤すみれ
uV__cTAd3dLN	AKB48 茂木忍のトーク	AKB48の茂木忍です！あなたのハートをもっぎもぎ♡	もぎ(AKB48)
takagi-yumana	高木由麻奈のトーク	^ ^	高木由麻奈
9R4kZ_QkMUTx	せりこむトーク♥	せりーぬとまいこむのトークですo(^▽^)o	せりーぬ & 深川舞子（HKT48）
kushiro-rina	久代梨奈（NMB48）	公式★久代梨奈りなっち（NMB48）のトークだよ！	久代梨奈（りなっち）
shiroma-miru	みるるん（NMB48）のトーク	よろしろまー♡	白間美瑠
iwatate-saho	岩立沙穂（AKB48）のつぶつぶ部屋	気まぐれに現れます深夜率高め	岩立沙穂
kamata-natsuki	鎌田菜月（SKE48）のトーク	鎌田菜月（SKE48）のトークです 基本一人で呟いています。お返事気まぐれ(´¬`) 毒をはいたりもしますが、それは愛故に！！ 合わないと思った方はトークをそっ閉じ…	カレーbot鎌田★60万ウォッチで返信祭
matsumuramegumi-moritaayaka	めぐてぃんtalk♥︎⍤⃝	NMB48 teamMのめぐてぃんのtalk♡	森田彩花 & 松村芽久未
FXOJ2prNTxtb	優月さんと菅原。	SKE48のチームK2の日高優月さんとチームEの菅原茉椰のトークです。	SKE48　日高優月 & 菅原茉椰(SKE48)
itou-junna	伊藤純奈(乃木坂46)のトーク	ゆるーく✨	伊藤純奈(乃木坂46)
KSXWBTAZ85iO	新なるぅーか	チームは離れても心は繋がっているなるぅーか	古賀成美
takatsuka-natsuki	高塚夏生（SKE48) のトーク	大阪府在住 チームK2	髙塚夏生
fukuoka-seina	福岡聖菜（AKB48）のトーク	実況よくしてます！	福岡聖菜
mina-mio-renattsun	みなみおれなっつんのトーク♡	SKE48の大場美奈、NMB48の市川美織、AKB48の加藤玲奈、小嶋菜月の仲良しグループです♡	市川美織（NMB48） & 大場美奈 & 小嶋菜月
yokoyama-yui	横山由依（AKB48）のトーク	横山由依（AKB48）のトークです	横山由依
yamamoto-sayaka	山本彩（NMB48/AKB48）のトーク	あまりよく分かってないですが始めてみます（^人^）	山本彩
koga-narumi	古賀成美（NMB48）のトーク	NMB48チームNです(OvO)アカウントがたくさんあるそうですがこれが本物です	古賀成美
yumoto-ami	湯本亜美(AKB48)のトーク	AKB48 ゆもとあみです。	湯本亜美(AKB48)
uno-mizuki	みぃーき（NMB48）のトーク	みぃーき（NMB48）のトークです	みぃーき
matsuokanatsumi-motomuraaoi	なつあお	なつあおのトーク	松岡菜摘 & 本村碧唯(HKT48)
x04Iu1TT6tp2	おだはな	とよこむライバル視(?)	岩花詩乃
tentoumuchu-official	てんとうむchu!	小嶋真子.西野未姫.岡田奈々.朝長美桜.田島芽瑠.渋谷凪咲.北川綾巴	田島芽瑠 & 渋谷凪咲 & ともながみお & 小嶋真子 & 西野未姫 & 北川綾巴 & 岡田奈々
C_EU0c6zTZwV	SKE48 7D2😚💕のトーク	SKE48 7期生、ドラフト2期生のトークです☺️	白井琴望(SKE48teamk2) & 菅原茉椰(SKE48) & 後藤楽々(SKE48) & 杉山愛佳(SKE48) & 野島樺乃 & 小畑優奈
oba-mina	大場美奈(SKE48)のトーク	大場美奈(SKE48)のトークです	大場美奈
6fTE1TNEsYXN	♡岩花詩乃と上野遥♡のトーク	しのとはるかの仲良しコンビのトークです！気軽にどーぞ笑	上野遥 & 岩花詩乃
FopYROJb530W	｢業務連絡。頼むぞ、片山座長！リターンズ｣アメスタ番組トーク	片山陽加のアメスタプレミアム放送における企画の募集場所として、トークを開設致します！	アメスタスタッフ
nishino-nanase	西野七瀬(乃木坂46)のトーク	新しい朝が来た	西野七瀬(乃木坂46)
5EPhXyDsvBNf	ゆかりなトーク♡	佐々木優佳里と平田梨奈のトークです(o^^o)	優佳里
8rpTqWfVQ4F7	あやかうーかあんちゅ♥️	NMB48の3人で会話してます。（笑）	加藤夕夏
akb48-team8-kyusyu	AKB48 チーム８ 九州エリアのトーク	吉田華恋、谷口もか、宮里莉羅、下青木香鈴、倉野尾成美、山田杏華、寺田美咲のトークです。	AKB48チーム８九州エリア & サルオバサン
ikuta-erika	生田 絵梨花（乃木坂46）のトーク	生田 絵梨花のトークです	生田絵梨花
aramaki-misaki	荒巻美咲（HKT48）🦋	荒巻美咲のトークです☪️	荒巻美咲(HKT48)🦋
zCEp_1d_FhHl	passion for you💕白井琴望✨	passion for youのやり方を説明しています是非見てくださいみなさんいつもありがとうございます	白井琴望(SKE48teamk2)
i4u-official	I4U	I＝井上 岩花 4＝4人 U＝宇井 上野 HKT48の非公式ユニットです	上野遥 & 岩花詩乃 & 宇井真白 & 井上由莉耶
idareona-noguchiyume	井田と野口です。	チームＳ野口由芽と、チームＥ井田玲音名がお送りするトークです。 気まぐれで現れます。	井田玲音名
kcoM2UOsndH5	ヨッ〇ーVSアンパン〇ン	私たち不仲です	杉山愛佳(SKE48)
-LvkpIUbrZkE	SKE48ドラフト2期生	ドラフト2期生のだよー	白井琴望(SKE48teamk2) & 菅原茉椰(SKE48)
dVzLaNDnixG2	アメスタスタッフのトーク	アメスタスタッフのトークです	アメスタスタッフ
tomiyoshi-asuka	冨吉明日香( HKT48 )のトーク	冨吉明日香のトークです	冨吉明日香
matsuoka-chiho	ちほ（NMB48）のトーク	ちほのトークです	松岡知穂
yamashitayukari-katorumi	ゆかるみが世界を救うの巻	ゆかるみ推し、目指せ10万ウォッチ	みんなのアイドルゆかりちゃん🍙 & 加藤るみ
ichikawa-miori	市川美織のトーク	市川美織のトークです	市川美織（NMB48）
egN2nsunHuvh	茂木さんと愉快な仲間たち	茂木さんをこよなく愛する者たちの集い	向井地美音 & 込山榛香 & もぎ(AKB48) & 大川莉央
oshimaryoka-owadanana	りょーにゃ	りょーにゃのトーク	大和田南那
akb48-team8-chubu	AKB48 チーム８ 中部エリアのトーク	横道侑里、服部有菜、橋本陽菜、長久玲奈、野田陽菜乃、歌田初夏、髙橋彩香、平野ひかるのトークです。	AKB48チーム８中部エリア & サルオバサン
ha0HhdjvId_F	NMB48 元研究生トーク	NMB48の元研究生のトークです	山尾梨奈 & 西澤瑠莉奈 & 森田彩花 & 松岡知穂 & 石田優美 & 明石奈津子 & 松村芽久未 & 中野麗来 & 城恵理子
soda-sarina	惣田紗莉渚（SKE48）のトーク	そうだ！さりなを推そう☺ チームK2の惣田紗莉渚です♪ どこにいても輝きたい…輝ける…！	惣田紗莉渚
suto-ririka	須藤凜々花（NMB48）という哲学	NMB48チームNすとうりりぽん、将来の夢は哲学者、胸は薄いけれどハートは熱い！！信念に生きる女、りりぽんです！！全国の先輩方、よろしくお願いいたします(｡-_-｡)	須藤凜々花
05q5Xq60RRKc	矢方美紀のトーク	矢方美紀のトークです	矢方美紀
jyo-eriko	城 恵理子(NMB48)のトーク	NMB48 teamBⅡです！気軽にいっぱい 一緒にお話しましょう！Twitterアカウント→ @erikonnitiwa11	山尾梨奈 & 森田彩花 & 中野麗来 & 城恵理子
jYVd9YQu_Cf0	みおなつあお	朝長本村松岡	松岡菜摘 & ともながみお & 本村碧唯(HKT48)
yamauchi-yuna	山内祐奈（HKT48）のトーク	山内祐奈（HKT48)のトークです	山内祐奈
EtiN2SsB0I8k	山本彩と薮下柊と木下春奈と川上千尋の野球討論	※野球ファンの方熱く討論しましょう            野球ファン！ですよ	薮下柊 & 山本彩 & 川上千尋（NMB48）
mutou-tomu	武藤十夢のトーク(AKB48)	武藤十夢のトークです	武藤十夢
maity-official	【まいてぃ】公式サイト	フォークソングデュオまいさんとてぃさん、合わせて「まいてぃ」と申します！主にSKE48さんの曲をカバーしてます！結成して二カ月ですが、応援よろしくお願いします。※出演依頼などお待ちしております！	竹内舞
zukkoke3ningumi-official	ずっこけ三人組	仲良しな3人（AKB48）のトークです。多分意味不明です。よろしくお願いします。	鈴木まりや & 岩佐美咲 & 宮崎美穂
ttedan-official	T.T.E団のトーク	T.T.E団のトークです	みなみ
oshima-yuko	優子のトーク	大島優子のトークです	Yuko_oshima
nojo-ami	能條愛未（乃木坂46）のトーク	蟹食べたい	能條愛未（乃木坂46）
kato-rena	加藤玲奈（AKB48）	加藤玲奈（AKB48）のトークです！	加藤玲奈
SnWq0uQ-Sg0K	斉藤真木子と加藤るみのトーク〜2人はアロンアルファ〜時々あや	SKE48チームE斉藤真木子と加藤るみと柴田阿弥が気ままにおしゃべりしま〜すo(｀ω´ )o	加藤るみ & 斉藤真木子
9tg9SaAf1rKV	じーなとかんなの「じーぱん(絆)」トーク❤️	HKT48の2期生コンビ！神志那結衣と岡田栞奈のトークグループだよ(^○^)	岡田栞奈
iwatatesaho-kitazawasaki	のろりんずトーク	AKB48 岩立沙穂と北澤早紀によるのろりんなトークです(｡•ㅂ•)﻿(´ㅂ`๑)♡	岩立沙穂 & さっきー
8gJA0sfBIt2v	キヘン		松岡菜摘 & 本村碧唯(HKT48)
moriyasu-madoka	森保まどか（HKT48）のトーク	HKT48の森保まどかです	森保まどか
gi3GS5tXc2hT	矢吹奈子（HKT48/AKB48）のトーク	矢吹奈子（HKT48／AKB48）のトークです	矢吹奈子(HKT48/AKB48)
umemoto-madoka	梅本 まどか（SKE48）のトーク	梅本 まどかのトークです	梅本まどか
PSewcou7-2fA	愛するアイストーク	SKE48の山田樹奈がアイスへの愛が大きすぎるあまりに作ってしまったアイスの話だけをするトークです。愛すあっ間違えたアイスのコメント限定でお願いします。みんなでアイスの素晴らしさを全国へ広めましょう。	山田樹奈
takajoaki-kitahararie	いつものふたり 〜あきりえ〜	高城亜樹ちゃんと北原里英ちゃんのゆる〜いトークです	北原里英 & 高城亜樹(あきちゃ)
tashimameru-tomonagamio	めるみおトーク	めるみおだよ^_^本物だよ^_^よろしくね^_^	田島芽瑠 & ともながみお
takatera-sana	さーなん。ゆる〜く。（ske48高寺沙菜）	京都府出身。京都へ行こう。	さーなん。
